Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"UK","North West","F","14","R","169","23","147","2","Walk","10","0","48","Football/Soccer","490","605","784","614","580","635",
"UK","South West","F","13","R","166","25","168","2","Bus","30","0.48","49","Hockey (Field)","0","0","0","0","1000","1000",
"UK","East","M","14","R","179","26","172","1","Car","2","1.26","77","Athletics","398","537","300","324","635","564",
"UK","Home Counties","M","13","R","178","25","178","1","Walk","15","0.31","29","Skateboarding/Rollerblading","352","553","259","671","1000","1000",
"UK","West Midlands","M","14","R","172","20","165","1","Cycle","15","0.32","59","Football/Soccer","641","500","1000","959","12","20",
"UK","East Midlands","F","12","R","156","24","154","1","Walk","5","0","54","Dancing","758","602","611","385","150","123",
"UK","North East","M","11","R","161","23","155","3","Walk","20","0.34","43","None","669","432","284","356","1000","1000",
"UK","South","M","14","R","141","16","141","2","Car","25","0.58","45","Martial Arts","799","611","629","541","139","168",
"UK","Home Counties","M","13","R","174","35","100","2","Bus","15","0.37","61","Football/Soccer","1000","1000","1000","1000","1000","1000",
"UK","East","F","12","R","164","24","164","3","Rail","40","0.34","27","Tennis","765","743","543","423","635","637",
"UK","East","M","11","R","150","25","140","1","Bus","55","1.71","58","Swimming","704","752","490","302","660","340",
"UK","Home Counties","F","12","R","160","22","158","1","Car","5","0.31","35","Dancing","803","736","732","823","374","380",
"UK","North West","M","13","R","148","24","148","1","Walk","20","0.34","40","Football/Soccer","700","242","1000","500","1000","1000",
"UK","London","M","13","R","167","29","180","3","Walk","20","0.36","57","Football/Soccer","644","915","734","852","662","783",
"UK","North West","M","13","R","180","29","181","1","Bus","25","0.34","59","Other activities/sports","635","595","436","705","0","694",
"UK","North West","M","15","R","175","27","171","1","Car","7","0.32","65","Football/Soccer","727","630","621","890","0","24",
"UK","North West","F","14","R","175","24","166","2","Car","11","0.34","33","Hockey (Field)","779","817","360","711","0","0",
"UK","Home Counties","F","12","R","163","22","160","2","Bus","10","0","35","Swimming","620","837","846","638","642","644",
"UK","East Midlands","M","12","R","162","25","160","1","Car","7","0.62","42","Swimming","951","899","774","834","497","738",
"UK","Home Counties","F","12","R","152","21","148","1","Bus","30","0.32","54","Athletics","360","416","438","595","812","843",
"UK","Home Counties","F","13","R","162","24","160","2","Car","30","0","36","Dancing","588","736","810","915","1000","1000",
"UK","North East","M","13","R","146","25","146","1","Walk","10","0.29","32","Football/Soccer","866","935","1000","852","0","0",
"UK","North West","F","14","R","169","22","121","3","Bus","15","0.56","27","Hockey (Field)","1000","738","803","872","500","494",
"UK","South","M","11","R","154","22","150","3","Bus","15","1.07","56","Cycling","688","855","701","773","307","546",
"UK","East Midlands","F","13","R","173","25","174","2","Walk","10","0","79","Football/Soccer","845","713","591","365","0","66",
"UK","South","M","12","L","152","24","149","1","Walk","20","0.65","49","Swimming","773","851","842","842","737","624",
"UK","South","M","13","R","180","28","183","1","Bus","45","0.32","54","Other activities/sports","1000","1000","394","1000","1000","1000",
"UK","East","M","13","R","178","29","176","1","Bus","10","0.64","82","Football/Soccer","500","609","500","500","734","999",
"UK","South West","F","12","R","161","25","160","2","Car","15","0.48","60","Swimming","1000","1000","1000","1000","1000","1000",
"UK","West Midlands","F","14","R","164","24","167","3","Walk","20","0.4","60","Dancing","1000","928","1000","931","500","611",
"UK","East","F","13","R","164","24","156","3","Other","30","0.35","57","Other activities/sports","155","268","0","78","1000","1000",
"UK","Martinique","F","16","R","161","23","173","2","Bus","30","0.29","63","Dancing","1000","1000","998","869","847","935",
"UK","North West","F","14","R","166","23","164","1","Bus","10","0.44","35","Netball","508","675","398","623","963","1000",
"UK","North West","M","15","R","177","28","189","2","Walk","10","0","38","Basketball","315","756","767","767","1000","1000",
"UK","North West","F","12","R","153","23","154","4","Walk","25","0.42","44","Dancing","935","823","718","909","1000","997",
"UK","South","M","12","R","150","26","144","1","Walk","15","0.21","50","Skateboarding/Rollerblading","609","307","587","133","1000","1000",
"UK","North East","M","13","R","158","26","158","1","Bus","30","0.52","54","Football/Soccer","500","500","500","500","1000","500",
"UK","East Midlands","M","15","R","175","26","169","2","Walk","20","0.39","33","Football/Soccer","799","746","604","716","481","423",
"UK","West Midlands","M","12","R","137","21","135","2","Car","10","0.28","33","Football/Soccer","1000","1000","903","1000","516","452",
"UK","East Midlands","F","14","R","173","26","170","1","Walk","25","0.37","27","Netball","709","716","685","738","385","405",
"UK","Home Counties","M","13","R","149","24","149","1","Bus","20","0.29","64","Football/Soccer","311","320","351","331","1000","1000",
"UK","North West","F","13","R","156","21","154","2","Walk","15","0.39","55","Dancing","262","342","374","213","794","808",
"UK","North West","M","14","L","189","26","183","2","Bus","40","0.31","30","Rugby Union","615","846","500","676","1000","1000",
"UK","North East","M","12","R","143","22","141","1","Bus","5","0.48","31","Football/Soccer","616","718","635","657","1000","1000",
"UK","North West","M","14","R","179","28","169","1","Cycle","10","0","48","Football/Soccer","812","662","696","635","653","575",
"UK","South West","M","13","R","155","24","155","1","Bus","45","0.29","37","Rugby Union","0","0","0","0","1000","871",
"UK","North West","M","14","L","150","24","147","1","Walk","15","0.35","36","Football/Soccer","1000","1000","1000","708","0","0",
"UK","West Midlands","F","13","R","156","24","206","3","Walk","15","0.31","40","Dancing","1000","1000","1000","1000","1000","1000",
"UK","South West","F","12","L","160","26","160","2","Bus","40","0.42","54","Netball","702","689","727","694","662","500",
"UK","North West","M","13","R","151","21","150","1","Walk","15","0.32","32","Football/Soccer","500","500","500","500","500","500",
"UK","North East","M","13","R","160","27","169","1","Walk","15","0.32","44","Football/Soccer","0","0","12","0","0","0",
"UK","Home Counties","F","13","R","149","22","142","2","Bus","45","1.83","37","Table Tennis","591","383","530","380","1000","1000",
"UK","South","F","12","R","140","22","135","1","Car","10","0.39","50","Other activities/sports","1000","1000","1000","1000","279","0",
"UK","East Midlands","F","15","L","163","19","160","1","Walk","20","0.46","40","Dancing","704","718","725","694","386","403",
"UK","North East","M","11","L","145","20","141","1","Walk","30","0.76","35","Skateboarding/Rollerblading","639","530","616","427","56","68",
"UK","East","F","14","R","165","25","162","1","Walk","35","0.32","20","Walking/Hiking","243","767","435","302","600","602",
"UK","England","M","11","R","145","23","142","3","Bus","25","0.54","55","Football/Soccer","846","560","338","500","50","49",
"UK","East Midlands","M","12","R","173","33","177","1","Bus","35","0.42","73","Other activities/sports","702","914","559","690","154","715",
"UK","London","M","13","R","170","26","98","3","Bus","30","0.39","53","Dancing","473","499","500","500","500","500",
"UK","Home Counties","M","13","R","152","25","152","1","Walk","15","0.43","38","Rugby Union","248","215","213","213","0","0",
"UK","West Midlands","M","13","R","148","21","137","2","Car","10","0","60","Cycling","336","537","615","470","251","234",
"UK","Home Counties","F","12","L","150","26","150","1","Walk","10","0.34","46","Martial Arts","756","665","660","649","186","345",
"UK","North West","M","14","R","161","27","157","2","Walk","3","0.39","49","Golf","1000","852","1000","1000","679","758",
"UK","South","M","13","L","159","25","158","3","Car","20","0.5","55","Martial Arts","800","194","0","0","128","0",
"UK","West Midlands","M","13","L","163","29","169","1","Car","20","1.49","27","Athletics","286","309","225","295","913","640",
"UK","South West","M","14","R","154","26","152","1","Walk","12","0.33","58","Cricket","0","1000","1000","1000","1000","1000",
"UK","South West","M","12","R","154","24","156","1","Car","16","0.26","68","Football/Soccer","581","0","97","968","903","710",
"UK","West Midlands","M","11","R","149","26","149","1","Boat","127","0.34","47","Football/Soccer","0","18","0","0","1000","1000",
"UK","South West","M","11","R","131","19","130","1","Bus","20","0.31","37","Football/Soccer","500","500","500","500","996","1000",
"UK","North West","M","11","R","156","25","148","1","Car","10","0.32","46","Cycling","58","500","430","611","1000","1000",
"UK","North West","F","13","R","164","24","164","1","Walk","25","0.37","55","Dancing","893","808","500","937","228","409",
"UK","North West","M","14","R","155","25","153","1","Cycle","10","0.54","48","Martial Arts","580","664","756","743","1000","1000",
"UK","North West","M","14","L","179","28","178","1","Car","5","0.34","28","Rugby Union","824","842","616","793","868","995",
"UK","South West","M","14","R","173","26","170","1","Walk","10","0.4","42","Football/Soccer","500","500","500","500","500","500",
"UK","East Midlands","F","13","R","152","29","156","2","Walk","10","0.37","46","Gymnastics","461","477","544","544","727","752",
"UK","North West","M","15","R","171","24","170","1","Car","5","0.29","39","Football/Soccer","848","907","588","678","427","433",
"UK","East Midlands","F","15","R","170","28","176","2","Walk","20","0.34","42","Basketball","500","521","633","586","600","687",
"UK","South West","M","11","R","153","24","148","1","Bus","25","0.28","25","Basketball","1000","484","226","290","497","0",
"UK","North West","F","13","R","149","20","143","1","Walk","30","0.73","36","Running/Jogging","496","500","702","1000","490","1000",
"UK","East","M","13","R","165","28","166","1","Bus","75","0.28","57","Swimming","791","812","812","839","701","743",
"UK","South East","M","14","R","159","26","161","3","Car","5","0","68","Running/Jogging","591","544","1000","1000","83","215",
"UK","South West","M","12","B","160","23","155","2","Bus","30","0","35","Other activities/sports","0","0","0","0","1000","1000",
"UK","North West","F","13","R","169","25","172","1","Walk","10","0.54","72","Tennis","635","358","418","315","174","264",
"UK","North West","F","12","R","102","25","115","2","Walk","10","0.37","47","Bowling","854","634","607","769","1000","1000",
"UK","Klammath Falls, Oregon,USA","F","11","R","149","24","150","2","Bus","30","0.46","43","Other activities/sports","857","921","748","500","491","453",
"UK","South East","F","14","R","164","25","166","1","Bus","20","0.73","73","Football/Soccer","391","744","781","706","1000","1000",
"UK","South West","M","11","R","157","23","147","1","Bus","60","0.37","40","Cricket","0","0","0","0","0","0",
"UK","London","F","12","R","165","22","160","3","Bus","30","0.35","46","Swimming","405","358","389","447","1000","1000",
"UK","South","F","16","R","160","24","163","1","Bus","25","0.55","48","Hockey (Field)","432","690","768","559","327","174",
"UK","East Midlands","F","13","R","163","23","150","3","Bus","15","0","46","Other activities/sports","647","317","176","718","671","918",
"UK","London","M","12","R","145","20","146","3","Walk","15","0.65","62","Football/Soccer","293","483","877","819","380","477",
"UK","Nicaragua","M","16","R","164","27","160","2","Bus","35","0.39","39","Football/Soccer","452","476","465","474","133","53",
"UK","South West","M","14","R","166","25","165","1","Bus","25","0","49","None","500","500","500","500","500","500",
"UK","South","M","13","R","160","27","161","3","Car","10","0.4","114","Football/Soccer","264","364","269","389","669","627",
"UK","London","M","12","R","173","27","175","2","Walk","20","0","49","Swimming","119","345","113","1000","1000","1000",
"UK","East","F","13","R","155","25","153","2","Bus","8","0.32","35","Netball","629","521","734","667","828","812",
"UK","South","F","11","R","156","23","153","2","Car","13","0.39","32","Hockey (Field)","0","0","0","0","0","0",
"UK","London","M","14","R","175","26","168","1","Walk","5","0.35","56","Football/Soccer","638","655","664","673","1000","1000",
"UK","North West","M","15","L","185","27","181","1","Bus","15","0.37","49","Skateboarding/Rollerblading","245","221","317","334","739","765",
"UK","North West","M","14","R","170","27","166","1","Bus","30","0.4","59","Rugby League","825","701","500","704","12","0",
"UK","East Midlands","M","13","R","165","28","168","1","Bus","15","0.34","42","Rugby League","0","740","758","781","740","787",
"UK","West Midlands","M","13","R","165","35","155","2","Car","15","0.31","30","Other activities/sports","271","246","224","282","423","550",
"UK","East","M","14","R","163","24","161","3","Bus","30","0.78","52","Athletics","781","500","353","771","500","776",
"UK","London","F","13","R","155","26","90","2","Walk","25","0.4","46","Swimming","1000","1000","1000","971","996","1000",
"UK","East Midlands","F","13","R","151","20","141","3","Car","15","0.31","39","Basketball","644","725","574","570","226","226",
"UK","Home Counties","F","11","R","154","23","154","1","Bus","15","1.14","49","Dancing","0","997","971","1000","1000","1000",
"UK","East","M","13","R","162","25","159","2","Cycle","15","0","36","Athletics","696","655","342","559","1000","1000",
"UK","Home Counties","M","11","L","148","27","140","2","Bus","15","0.29","53","Football/Soccer","865","851","687","389","900","887",
"UK","South","M","14","R","171","34","178","2","Bus","50","0","52","Athletics","500","500","500","500","500","500",
"UK","North West","M","13","R","165","24","154","2","Walk","15","0.28","48","Football/Soccer","370","400","644","582","418","559",
"UK","North East","M","11","R","149","20","143","2","Car","15","0.37","48","Football/Soccer","500","696","500","504","1000","1000",
"UK","West Midlands","M","14","R","162","24","162","1","Bus","15","0.42","43","Other activities/sports","500","500","500","500","500","500",
"UK","South Wales","M","12","R","110","20","100","3","Car","10","0.53","38","Cricket","567","830","414","817","750","557",
"UK","Home Counties","M","14","R","152","20","120","1","Bus","20","0.29","35","Football/Soccer","702","286","685","685","553","582",
"UK","South","M","13","R","170","23","168","1","Car","34","0.42","39","Golf","1000","626","870","321","664","689",
"UK","South East","M","15","R","164","29","163","1","Walk","15","0.42","42","Golf","553","342","646","498","514","760",
"UK","North West","F","14","R","165","26","168","3","Bus","20","0.39","41","Dancing","949","752","798","816","313","284",
"UK","East Midlands","M","14","R","177","27","174","2","Car","10","0","35","Football/Soccer","0","0","0","0","0","0",
"UK","West Midlands","F","16","R","162","26","164","2","Bus","60","1.99","68","Martial Arts","181","89","280","300","1000","1000",
"UK","North West","F","12","R","152","20","138","4","Walk","15","1.93","50","Dancing","864","969","0","0","0","0",
"UK","East Midlands","F","14","R","173","13","164","1","Walk","8","0.46","39","Dancing","843","791","1000","776","696","713",
"UK","South East","F","12","R","153","23","150","4","Walk","5","0.37","29","Dancing","556","692","458","586","673","701",
"UK","South West","F","14","B","168","26","166","2","Walk","15","0.26","34","Hockey (Ice)","0","0","0","0","1000","1000",
"UK","East Midlands","M","12","R","152","21","167","1","Walk","5","0","58","Football/Soccer","580","500","736","621","1000","1000",
"UK","West Midlands","M","12","R","148","22","140","2","Car","10","0.5","40","Gymnastics","484","452","500","500","1000","1000",
"UK","East Midlands","M","14","R","161","25","158","2","Car","15","0.25","30","Football/Soccer","887","874","869","844","500","500",
"UK","Northern Ireland","M","12","R","163","26","90","2","Walk","5","0.4","83","Football/Soccer","1000","606","633","627","1000","513",
"UK","South West","M","15","R","174","25","164","1","Walk","40","0.4","48","Martial Arts","0","0","0","0","1000","1000",
"UK","Home Counties","F","12","R","172","25","176","1","Car","20","0.29","63","Basketball","765","647","828","850","609","613",
"UK","East","F","14","R","158","22","159","2","Bus","20","0.98","44","Dancing","709","640","494","461","890","877",
"UK","North West","F","13","R","159","21","159","2","Bus","25","0.37","45","Dancing","694","565","570","423","425","621",
"UK","South","F","15","L","211","23","99","4","Car","34","0","77","Rugby League","0","0","0","500","0","0",
"UK","East Midlands","M","12","R","167","28","162","2","Walk","40","0.04","88","Football/Soccer","639","500","698","544","208","299",
"UK","South West","F","13","R","153","24","152","1","Bus","30","0.41","29","Dancing","1000","1000","1000","1000","0","0",
"UK","East","M","12","R","185","29","178","1","Bus","45","0.79","29","None","1000","1000","1000","1000","0","0",
"UK","North West","M","11","R","153","25","187","1","Walk","5","0.32","56","Athletics","1000","13","1000","987","998","1000",
"UK","West Midlands","M","13","L","162","33","157","2","Car","15","0.29","67","Football/Soccer","500","500","835","935","500","500",
"UK","South","F","12","R","153","23","148","2","Walk","15","0.25","45","Other activities/sports","1000","1000","1000","1000","516","433",
"UK","South East","M","12","L","163","26","164","2","Bus","35","0.46","33","Basketball","1000","720","536","566","416","452",
"UK","East","M","11","R","155","29","148","1","Bus","65","0.37","61","Cycling","331","782","576","388","961","890",
"UK","North West","F","12","R","146","22","150","2","Bus","30","0.36","41","Swimming","0","0","0","0","1000","803",
