Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"UK","Home Counties","F","13","R","159","22","155","2","Walk","15","0.53","27","Gymnastics","334","299","287","284","1000","1000",
"UK","South East","M","14","R","165","24","155","1","Walk","25","0.48","32","Football/Soccer","1000","689","1000","380","544","1000",
"UK","East Midlands","F","13","R","163","25","163","2","Bus","15","0.32","44","Dancing","553","966","673","714","801","819",
"UK","West Midlands","F","13","L","168","23","156","1","Car","15","0","45","Golf","1000","806","0","612","0","0",
"UK","North West","M","15","R","187","28","172","3","Bus","10","0.45","47","Football/Soccer","219","233","230","251","250","262",
"UK","North West","M","14","R","173","24","178","1","Walk","20","0.42","50","Dancing","0","0","258","0","1000","1000",
"UK","Home Counties","M","12","R","150","25","150","2","Bus","30","0.65","44","Football/Soccer","1000","1000","1000","1000","763","774",
"UK","North West","M","17","R","185","32","187","1","Car","8","0.42","48","Football/Soccer","548","593","624","521","1000","993",
"UK","East Midlands","F","14","R","169","22","174","1","Bus","15","0.5","50","Netball","283","584","500","500","500","591",
"UK","South","F","11","R","145","21","151","3","Walk","15","0.76","35","Dancing","0","1000","1000","1000","1000","1000",
"UK","South","F","13","R","163","23","165","3","Bus","17","0.29","40","Hockey (Field)","540","412","615","567","340","397",
"UK","North West","F","12","R","163","23","158","2","Bus","15","0","121","Athletics","500","0","500","0","0","1000",
"UK","South","F","12","R","145","22","159","2","Bus","45","0.37","27","None","0","0","500","0","0","0",
"UK","South","F","13","L","155","24","163","4","Car","15","0.39","42","Martial Arts","776","752","826","781","820","812",
"UK","North West","F","13","R","159","22","155","2","Bus","10","0.39","36","Gymnastics","617","847","500","635","431","437",
"UK","England","M","11","R","154","24","156","1","Car","15","0.53","190","Football/Soccer","500","500","500","648","662","667",
"UK","East Midlands","M","12","R","163","27","183","1","Walk","2","0.42","69","Cycling","805","644","570","555","1000","1000",
"UK","North West","F","14","R","155","20","155","2","Car","15","0","42","Hockey (Field)","636","613","617","615","442","620",
"UK","South Wales","M","12","L","145","25","145","1","Bus","10","0.51","73","Rugby Union","1000","1000","1000","1000","0","0",
"UK","South","F","11","R","150","25","149","1","Rail","40","0.5","31","Netball","0","129","0","0","710","1000",
"UK","South","F","16","R","165","25","165","2","Walk","5","0.49","42","Other activities/sports","336","396","171","470","283","555",
"UK","North West","M","14","R","179","25","179","2","Car","15","0.32","40","Bowling","0","0","1000","0","0","0",
"UK","West Midlands","M","12","R","147","23","90","4","Bus","30","0.7","58","Athletics","0","0","0","0","1000","1000",
"UK","London","M","12","R","172","25","166","2","Bus","45","0","37","Football/Soccer","500","217","478","581","128","83",
"UK","West Midlands","F","13","R","158","26","160","1","Bus","15","0.42","34","Other activities/sports","407","387","293","389","1000","1000",
"UK","North West","M","13","R","171","22","162","1","Walk","20","0.26","31","Football/Soccer","0","742","1000","484","581","452",
"UK","South East","M","14","B","164","28","99","2","Car","70","0.61","39","Cycling","698","0","0","1000","1000","1000",
"UK","West Midlands","F","14","R","155","22","161","1","Bus","45","0.42","31","Gymnastics","405","465","443","409","631","864",
"UK","North West","F","13","R","166","24","166","2","Car","15","0.39","33","Athletics","589","592","672","542","744","774",
"UK","North West","M","14","R","166","28","167","1","Bus","15","0","57","Football/Soccer","26","0","0","0","1000","1000",
"UK","North West","F","12","R","155","23","152","2","Bus","6","0.34","40","Dancing","696","941","812","731","928","919",
"UK","East Midlands","F","15","L","171","22","167","2","Walk","15","0.37","36","Dancing","706","310","301","303","823","835",
"UK","West Midlands","F","13","R","155","21","153","1","Walk","5","0.91","52","Table Tennis","834","912","964","961","604","500",
"UK","South East","M","14","R","157","27","155","1","Walk","30","0.65","45","Walking/Hiking","66","212","487","216","323","330",
"UK","South","M","12","L","156","24","155","1","Cycle","2","0","71","Cycling","500","500","500","500","500","500",
"UK","South","F","11","R","154","24","152","4","Car","10","0.59","55","Athletics","876","620","626","582","841","886",
"UK","East Midlands","M","15","R","180","29","173","2","Walk","35","0.28","51","Skateboarding/Rollerblading","329","295","304","723","1000","1000",
"UK","South","F","11","R","153","23","150","2","Walk","15","0.35","30","Other activities/sports","0","0","0","0","1000","1000",
"UK","North West","F","12","R","146","22","149","1","Walk","10","0.09","43","Other activities/sports","291","1000","839","904","884","885",
"UK","London","M","14","R","175","32","100","2","Bus","60","0.36","53","Baseball/Softball","991","0","0","0","0","1000",
"UK","South West","M","12","B","145","24","140","2","Bus","11","0.39","47","Other activities/sports","756","805","376","725","982","999",
"UK","North West","M","13","L","172","26","171","1","Walk","15","0","42","Football/Soccer","500","500","500","500","500","500",
"UK","East Midlands","F","11","R","154","22","109","2","Bus","45","0.43","49","Dancing","500","500","500","500","500","0",
"UK","South","F","11","R","148","24","155","2","Bus","20","0.45","36","Bowling","600","618","412","621","137","340",
"UK","East Midlands","F","15","R","175","30","171","2","Walk","8","0.39","34","Dancing","541","629","745","593","848","1000",
"UK","North East","M","13","R","160","23","158","1","Walk","5","0.41","40","Cycling","500","500","500","500","500","500",
"UK","South","M","13","R","155","30","100","1","Walk","15","0.42","43","Football/Soccer","607","999","243","837","0","290",
"UK","Home Counties","F","13","R","165","27","160","3","Car","5","0","40","Dancing","586","386","266","450","500","557",
"UK","South","F","11","L","152","24","152","2","Bus","20","0.62","57","Swimming","1000","1000","1000","1000","764","890",
"UK","Home Counties","M","11","R","154","25","144","1","Walk","40","0.26","48","Football/Soccer","1000","1000","740","621","0","0",
"UK","North West","M","14","L","166","24","164","1","Car","7","0.32","38","Hockey (Field)","997","1000","872","948","1000","1000",
"UK","Home Counties","M","12","L","153","22","120","4","Walk","5","0.5","34","Cricket","0","0","1000","0","1000","1000",
"UK","North West","M","14","R","163","25","164","1","Car","20","0.34","43","Football/Soccer","754","585","497","606","1000","1000",
"UK","South East","F","14","R","161","27","153","1","Walk","10","0.57","32","Dancing","777","500","732","720","473","374",
"UK","South","F","13","R","164","23","160","3","Bus","40","0","29","Hockey (Field)","461","602","500","500","683","680",
"UK","West Midlands","F","12","R","160","23","148","1","Walk","20","0.4","36","Dancing","0","501","1000","1000","1000","1000",
"UK","North West","F","13","R","164","25","110","3","Walk","15","0.32","53","Swimming","1000","1000","1000","1000","1000","1000",
"UK","Home Counties","F","13","R","158","22","148","1","Car","20","0.51","52","Netball","779","782","791","788","500","500",
"UK","South West","F","13","R","165","26","163","2","Walk","20","0.36","42","Basketball","1000","964","991","1000","663","1000",
"UK","North West","M","15","R","180","25","180","1","Car","10","0.29","42","Football/Soccer","500","500","500","500","999","1000",
"UK","Home Counties","M","12","R","150","23","152","1","Bus","50","0.4","38","Football/Soccer","779","686","671","876","436","306",
"UK","West Midlands","M","13","R","100","20","120","1","Car","25","0","37","Football/Soccer","500","500","500","500","500","500",
"UK","East","M","14","L","170","23","184","2","Car","12","0.45","38","Athletics","765","859","888","879","1000","998",
"UK","Home Counties","F","13","R","150","20","147","1","Walk","10","0.39","35","None","618","534","300","579","821","758",
"UK","East","F","12","R","155","22","166","2","Car","10","0.4","49","Swimming","500","500","500","500","500","500",
"UK","South West","F","13","R","161","26","158","1","Car","20","0.7","55","Dancing","0","0","613","581","645","1000",
"UK","London","F","11","R","158","21","163","3","Car","10","0","50","Swimming","728","335","582","500","660","1000",
"UK","East Midlands","M","15","R","169","23","172","1","Walk","15","0.4","33","Football/Soccer","707","711","500","114","841","864",
"UK","South East","F","12","R","174","25","190","2","Bus","35","0.5","67","Other activities/sports","440","311","346","292","614","1000",
"UK","Home Counties","M","13","R","170","30","90","1","Cycle","30","0.34","64","Football/Soccer","394","607","546","562","759","859",
"UK","East Midlands","F","12","R","165","25","165","1","Walk","10","0.32","36","Tennis","664","715","341","617","0","0",
"UK","Home Counties","M","13","B","170","26","174","5","Walk","5","0","108","Swimming","743","691","559","568","389","792",
"UK","South","F","13","R","154","20","154","1","Walk","15","0.42","41","Dancing","0","0","1","101","1000","1000",
"UK","West Midlands","M","14","R","182","28","181","2","Bus","30","0.32","37","Football/Soccer","785","729","157","1000","1000","1000",
"UK","Home Counties","M","14","R","183","26","150","1","Walk","30","0.37","40","Football/Soccer","819","667","588","638","305","306",
"UK","North West","F","14","R","164","25","163","2","Walk","10","0.32","36","Basketball","535","586","500","568","649","911",
"UK","South West","M","11","R","152","22","148","1","Bus","30","0","28","Cycling","1000","1000","0","0","1000","1000",
"UK","East","M","13","R","177","30","177","1","Walk","3","0.29","47","Football/Soccer","718","732","740","756","1000","1000",
"UK","Home Counties","F","14","R","160","20","100","2","Bus","20","1.1","51","Basketball","709","635","356","562","1000","1000",
"UK","South East","F","14","R","156","15","95","2","Bus","30","1.02","35","Basketball","500","65","303","364","1000","1000",
"UK","Maldives","F","12","R","149","22","150","2","Car","30","0.72","47","Basketball","615","346","606","634","1000","1000",
"UK","South East","M","14","R","169","26","168","5","Walk","9","0","31","Cricket","878","722","500","500","984","991",
"UK","Home Counties","M","12","R","145","16","112","3","Car","15","0","46","Cricket","500","500","500","500","500","500",
"UK","South","F","13","R","167","24","167","2","Car","10","0.38","23","Athletics","642","659","500","500","963","997",
"UK","South","M","13","L","165","30","170","2","Car","3","0.52","51","Athletics","271","523","500","500","500","500",
"UK","East Midlands","F","15","R","169","27","124","2","Walk","10","0.32","35","Netball","694","597","400","388","785","924",
"UK","South West","M","13","R","161","22","161","1","Walk","2","0.35","35","Tennis","1000","1000","1000","1000","600","660",
"UK","South","F","13","R","162","20","150","1","Walk","20","0.3","31","Swimming","564","540","635","693","500","500",
"UK","East","F","14","R","143","22","159","1","Bus","20","0","35","Dancing","852","660","600","655","0","369",
"UK","North West","F","14","R","172","28","176","1","Walk","10","0.59","45","Running/Jogging","745","651","711","756","134","103",
"UK","West Midlands","M","13","R","163","23","158","2","Walk","40","0","39","Swimming","1000","500","500","500","1000","1000",
"UK","Home Counties","F","14","R","170","24","163","4","Walk","20","0.65","44","Swimming","516","500","742","1000","0","32",
"UK","West Midlands","F","13","R","168","24","169","2","Walk","6","0.32","43","Swimming","1000","1000","1000","1000","0","0",
"UK","North East","M","11","R","146","22","137","1","Bus","30","0.39","68","Football/Soccer","743","414","311","318","0","443",
"UK","South West","M","14","L","165","26","165","1","Bus","40","0","44","Cycling","500","500","500","500","500","500",
"UK","South","F","14","R","168","27","163","1","Walk","3","0.31","34","Dancing","857","671","521","544","333","409",
"UK","West Midlands","M","13","R","160","26","158","1","Walk","7","0","69","Football/Soccer","691","662","776","714","956","953",
"UK","East Midlands","F","14","R","168","23","153","2","Walk","10","0.32","32","Netball","390","917","339","716","817","843",
"UK","South","F","12","R","170","25","160","2","Bus","10","0.51","207","Swimming","743","118","519","721","1000","1000",
"UK","North West","F","13","R","164","26","164","2","Bus","20","0.4","37","Bowling","0","387","97","0","1000","419",
"UK","South","F","12","R","160","23","167","3","Bus","50","0.35","28","Swimming","444","604","649","754","426","616",
"UK","North West","M","14","R","173","24","164","3","Bus","30","0.31","28","Football/Soccer","1000","0","258","258","0","0",
"UK","East","F","13","R","157","22","157","1","Car","15","0.34","29","Cycling","1000","1000","1000","1000","1000","1000",
"UK","East","M","13","R","164","26","164","2","Walk","45","0","34","Football/Soccer","465","413","573","702","861","998",
"UK","Home Counties","F","13","R","166","25","173","2","Car","5","0.4","35","Swimming","777","199","433","822","485","1000",
"UK","Home Counties","F","13","R","154","25","149","1","Bus","25","0.34","31","Swimming","1000","1000","1000","1000","1000","1000",
"UK","West Midlands","F","14","R","174","20","100","3","Walk","5","0.4","41","Swimming","500","810","696","756","564","573",
"UK","East Midlands","F","14","R","160","22","151","1","Walk","7","1.78","39","Football/Soccer","1000","270","790","327","155","254",
"UK","Home Counties","F","14","R","160","22","165","1","Walk","10","0.73","46","Baseball/Softball","600","635","530","546","1000","1000",
"UK","South","M","14","R","161","23","159","1","Car","10","0","65","Football/Soccer","633","803","620","881","1000","1000",
"UK","North West","F","14","R","166","24","166","3","Bus","40","0.46","31","Netball","678","688","709","766","586","586",
"UK","South West","F","13","R","163","24","150","2","Bus","50","0.39","33","Netball","452","387","452","677","258","358",
"UK","Home Counties","M","14","R","166","27","159","1","Car","5","0.42","47","Football/Soccer","127","116","359","414","600","600",
"UK","South West","F","12","R","145","23","147","2","Bus","15","0","30","Cycling","129","97","226","226","1000","1000",
"UK","North West","F","14","L","149","26","154","2","Bus","30","0","39","Dancing","764","1000","651","830","252","76",
"UK","North West","M","15","R","184","28","183","1","Car","20","0.28","32","Rugby League","0","0","740","680","744","774",
"UK","South","M","13","R","160","30","153","1","Car","15","0.31","83","Golf","0","0","0","993","1000","1000",
"UK","South","F","14","L","156","23","157","2","Car","5","0.37","30","Tennis","286","642","553","394","667","700",
"UK","South East","M","13","R","172","33","171","3","Bus","35","0","43","Football/Soccer","631","500","375","604","895","962",
"UK","South West","F","13","B","163","28","163","1","Bus","20","0.34","26","Athletics","1000","500","500","500","500","500",
"UK","Northern Ireland","F","11","R","146","20","145","1","Bus","30","1.22","41","Other activities/sports","500","500","500","500","391","500",
"UK","Home Counties","F","14","B","157","22","159","2","Bus","45","0.39","47","Rowing","946","722","585","740","442","666",
"UK","Scotland","M","14","R","172","32","96","1","Bus","20","0.56","58","Football/Soccer","555","560","243","588","690","1000",
"UK","South","F","13","R","165","25","167","3","Car","43","0.42","39","Dancing","922","925","869","934","60","0",
"UK","South West","M","14","R","171","25","175","1","Walk","20","0.44","35","Swimming","1000","500","500","500","500","1000",
"UK","North East","F","11","R","146","20","135","1","Walk","15","0.43","44","Other activities/sports","864","904","689","416","1000","1000",
"UK","West Midlands","F","13","R","166","22","168","2","Walk","25","0.4","60","Netball","1000","1000","992","1000","0","0",
"UK","South West","F","17","R","173","22","171","1","Bus","60","0.34","39","Other activities/sports","803","818","808","772","1000","1000",
"UK","North Wales","F","14","R","156","20","145","2","Car","75","1.39","59","Tennis","1000","0","518","993","500","500",
"UK","South Wales","F","12","R","148","26","148","1","Walk","20","0.34","32","Athletics","82","285","94","871","901","899",
"UK","North West","F","13","R","165","31","152","1","Bus","20","0.4","48","Dancing","557","387","351","587","161","87",
"UK","South","M","12","R","142","20","137","1","Bus","30","0","51","Football/Soccer","837","769","849","764","931","1000",
"UK","North West","F","12","R","159","22","150","2","Car","7","0.49","50","Swimming","799","761","644","597","318","613",
"UK","West Midlands","F","13","R","148","28","140","1","Walk","7","0.37","30","Dancing","471","465","566","500","1000","1000",
"UK","East","F","14","R","164","23","170","1","Walk","15","0.75","62","Dancing","738","651","582","588","367","512",
"UK","East Midlands","F","14","R","170","22","168","2","Bus","30","0.5","34","Other activities/sports","632","621","617","567","343","334",
"UK","Home Counties","M","14","R","178","27","171","1","Bus","30","0","51","Rugby League","0","0","963","0","1000","1000",
"UK","Home Counties","M","11","R","139","21","139","3","Car","45","0.26","33","Swimming","313","226","449","644","1000","1000",
"UK","Italy","F","18","R","160","23","156","1","Bus","30","0","66","Other activities/sports","891","832","884","851","812","826",
"UK","South","F","14","L","175","25","170","2","Walk","5","0.36","37","Athletics","1000","613","0","516","0","0",
"UK","South","M","14","L","168","26","178","1","Cycle","5","0","32","Football/Soccer","295","206","492","387","246","459",
"UK","London","F","13","R","151","21","163","2","Bus","80","1.43","88","Running/Jogging","219","27","538","973","1000","982",
"UK","West Midlands","F","12","L","145","23","150","2","Walk","5","1.78","47","Other activities/sports","500","500","500","500","500","500",
"UK","South","M","13","R","152","21","152","1","Bus","25","0.31","48","Bowling","687","601","1000","544","702","714",
"UK","South","M","13","R","163","23","156","2","Walk","50","0.4","54","Rugby League","1000","1000","500","620","131","634",
"UK","East","F","13","R","157","24","160","3","Bus","65","0.42","41","Other activities/sports","770","870","552","671","454","623",
"UK","London","M","14","R","181","30","166","3","Walk","10","0.29","40","Football/Soccer","624","500","546","622","500","500",
"UK","West Midlands","F","13","R","130","19","100","1","Walk","20","0.45","29","Tennis","500","982","352","494","345","387",
"UK","South","F","11","R","158","30","90","5","Walk","20","0.5","29","Skateboarding/Rollerblading","0","0","0","0","1000","1000",
"UK","North West","F","15","R","162","22","167","1","Walk","20","0.39","36","Netball","1000","0","0","0","1000","355",
"UK","Home Counties","F","14","R","172","24","172","1","Walk","45","0.32","28","Netball","386","777","607","866","929","1000",
"UK","East","M","13","R","157","24","157","1","Walk","20","0.37","50","Tennis","832","810","819","817","747","758",
"UK","East Midlands","F","14","R","157","22","157","3","Walk","5","0.37","48","Dancing","592","678","510","320","633","701",
"UK","Home Counties","F","13","R","165","23","153","1","Walk","15","0","45","Other activities/sports","672","746","672","735","701","600",
"UK","South West","M","13","R","159","25","158","1","Bus","35","0.28","29","Other activities/sports","500","0","500","500","500","500",
"UK","London","M","12","R","145","23","135","3","Bus","3","0.39","55","Football/Soccer","512","538","797","846","322","337",
"UK","North West","F","13","R","158","25","153","2","Bus","25","0.34","28","Dancing","500","500","500","500","1000","1000",
"UK","South","M","13","R","152","20","150","1","Car","7","0.31","37","Cricket","621","946","500","500","659","762",
"UK","West Midlands","M","11","R","148","23","146","1","Bus","40","0.39","85","Football/Soccer","500","500","500","500","500","500",
"UK","South","F","13","R","164","23","164","2","Walk","20","0.34","38","Dancing","882","590","466","515","757","849",
"UK","North West","M","13","R","163","25","132","2","Bus","70","0.35","35","Cycling","645","607","588","576","587","589",
"UK","United States","M","16","R","198","33","198","1","Car","25","0.42","39","Running/Jogging","352","734","731","743","893","887",
"UK","South","M","14","R","185","25","185","3","Bus","5","0.42","49","Cycling","944","958","939","946","619","763",
"UK","East","M","15","R","181","28","180","1","Walk","20","0.32","38","Athletics","65","1000","500","500","500","500",
"UK","East Midlands","F","12","R","147","20","130","2","Bus","15","0.4","51","Bowling","630","0","0","583","541","569",
"UK","West Midlands","M","11","R","145","22","138","2","Walk","10","0.4","33","Football/Soccer","97","290","355","129","968","774",
"UK","North West","M","13","R","156","23","158","1","Bus","30","0.34","45","Swimming","931","946","899","942","810","819",
"UK","East","M","15","R","140","27","139","1","Walk","10","0.71","35","Skateboarding/Rollerblading","597","615","298","311","179","180",
"UK","North West","M","14","R","173","25","168","1","Bus","20","0.51","39","Football/Soccer","500","500","500","500","687","689",
"UK","North West","M","12","R","142","25","146","1","Walk","30","0.42","35","Skateboarding/Rollerblading","500","0","500","500","1000","903",
"UK","Home Counties","M","11","L","150","24","152","2","Car","14","0","42","Cricket","590","500","647","677","268","388",
"UK","East Midlands","M","12","R","156","24","157","2","Walk","22","0.4","71","Football/Soccer","745","732","689","760","588","841",
"UK","East Midlands","M","13","R","169","29","188","2","Bus","30","0.34","41","Tennis","0","1000","1000","0","0","0",
"UK","East","F","10","R","144","22","146","1","Car","15","0.48","53","Dancing","0","0","0","0","1000","645",
"UK","West Midlands","F","14","R","157","22","158","3","Bus","35","0.28","25","Football/Soccer","752","562","515","647","812","819",
"UK","South East","F","14","R","160","12","153","1","Walk","15","0.92","60","Other activities/sports","1000","1000","1000","1000","0","0",
"UK","East Midlands","M","12","R","154","26","152","1","Walk","25","0.39","44","Other activities/sports","500","500","500","500","500","500",
"UK","London","F","13","R","163","25","164","2","Car","25","0.34","30","Dancing","613","565","586","606","852","933",
"UK","South East","M","15","R","165","26","150","1","Rail","50","0.31","42","Running/Jogging","322","302","702","1000","1000","1000",
"UK","North West","M","15","R","174","23","174","1","Car","1","0.26","47","Swimming","579","403","248","427","266","286",
"UK","East Midlands","M","15","R","175","29","181","1","Car","8","0.31","47","Athletics","500","500","500","500","779","770",
"UK","North West","F","15","R","177","26","178","2","Car","10","0.32","26","Basketball","639","874","508","496","858","840",
"UK","North West","F","13","R","160","30","160","1","Car","15","0","44","Swimming","157","383","307","501","609","743",
"UK","South East","F","14","R","172","26","171","1","Car","10","0.4","44","Tennis","1000","1000","1000","1000","806","1000",
"UK","South West","F","15","L","164","23","160","1","Bus","20","0.4","65","Dancing","0","999","62","0","0","0",
"UK","East Midlands","F","12","R","165","25","150","3","Walk","60","0.37","32","Athletics","609","638","633","662","1000","1000",
"UK","South Wales","M","12","R","161","25","154","4","Walk","15","0.42","35","Tennis","715","492","577","483","856","952",
"UK","East Midlands","F","12","R","152","24","150","2","Walk","20","0","60","Athletics","609","587","500","598","993","1000",
"UK","South","M","13","R","155","32","158","3","Walk","20","0.34","39","Rugby Union","722","676","866","820","289","289",
"UK","London","F","13","R","161","24","168","2","Bus","45","0.43","126","Swimming","455","772","968","951","814","822",
"UK","East Midlands","F","12","R","159","27","162","3","Walk","15","0.39","35","Other activities/sports","617","579","591","626","441","441",
"UK","Home Counties","F","14","R","161","26","151","2","Bus","30","0","61","Gymnastics","670","567","437","562","826","736",
"UK","East","F","13","R","163","25","155","3","Car","5","0.67","24","Netball","500","500","500","500","302","500",
"UK","North West","F","13","R","163","24","151","1","Walk","15","0.42","47","Rugby League","801","711","779","772","1000","1000",
"UK","East Midlands","M","15","R","170","23","178","1","Car","4","0.1","34","Football/Soccer","437","403","303","500","1000","1000",
"UK","North Wales","F","12","R","162","23","155","2","Car","5","0.35","41","Tennis","635","828","603","779","1000","935",
"UK","South East","F","15","R","150","27","163","1","Walk","30","0","66","Football/Soccer","500","500","500","500","500","500",
"UK","London","F","16","R","160","23","165","2","Bus","20","0","49","Football/Soccer","500","500","500","500","500","500",
"UK","East Midlands","M","14","R","174","27","180","1","Bus","30","0.45","43","Other activities/sports","1000","1000","1000","1000","1000","1000",
"UK","North West","M","14","R","160","25","163","2","Car","10","0.65","32","Football/Soccer","622","767","500","787","895","74",
"UK","South","F","13","L","163","25","161","1","Car","15","1.74","44","Football/Soccer","1000","667","1000","734","286","390",
"UK","South West","M","15","L","177","28","172","1","Bus","90","0.2","31","Other activities/sports","811","754","680","743","725","723",
"UK","South","M","12","R","150","30","112","2","Car","5","0.68","35","Table Tennis","678","789","761","783","1000","1000",
"UK","East Midlands","M","13","R","158","23","149","1","Walk","10","0.37","48","Tennis","685","647","546","810","1000","1000",
"UK","South Wales","M","12","R","157","24","169","1","Walk","20","0.35","32","Martial Arts","591","791","562","520","650","852",
"UK","East Midlands","F","13","R","155","21","158","4","Walk","20","0.37","48","Basketball","861","664","497","637","1000","1000",
"UK","West Midlands","F","14","R","165","22","157","1","Walk","20","0.43","56","Swimming","664","597","729","700","1000","1000",
"UK","North West","F","13","R","165","26","165","2","Walk","15","0.68","32","Other activities/sports","694","746","765","772","115","173",
"UK","South East","M","13","R","173","29","173","2","Bus","5","0.67","57","Cricket","500","500","500","500","500","500",
"UK","South","F","12","R","156","25","149","1","Bus","30","0","40","Dancing","500","500","500","500","500","500",
"UK","South West","F","15","R","158","25","155","1","Bus","20","0.75","34","Dancing","500","500","500","500","500","500",
"UK","South West","M","15","R","179","26","178","2","Car","4","0.42","52","Football/Soccer","295","226","219","177","770","792",
"UK","London","F","12","R","165","18","90","1","Bus","25","0.32","35","Football/Soccer","852","791","800","697","419","1000",
"UK","North West","F","14","R","160","21","158","1","Car","9","0.46","50","Dancing","283","412","558","383","850","998",
"UK","North West","M","14","R","170","23","165","2","Car","5","1.23","53","Football/Soccer","500","500","500","500","500","500",
"UK","Home Counties","M","14","L","160","24","163","3","Car","15","0.14","42","Football/Soccer","852","1000","849","788","609","670",
"UK","South","M","12","R","152","25","161","3","Bus","20","0.31","36","Tennis","0","689","698","634","1000","1000",
"UK","North East","F","14","R","159","22","154","1","Bus","10","0.74","67","Dancing","500","500","500","500","500","500",
"UK","South East","F","13","R","160","25","164","2","Bus","30","0.92","43","Dancing","1000","500","500","500","0","500",
"UK","West Midlands","M","13","R","161","26","150","1","Car","5","0.47","40","Basketball","1000","685","729","620","850","1000",
"UK","North West","M","15","R","189","26","189","1","Car","10","0.35","28","Rugby League","710","591","405","428","499","391",
"UK","North West","F","13","R","155","25","150","1","Bus","50","0.29","36","Athletics","432","425","423","870","705","1000",
"UK","North West","F","14","R","160","24","150","3","Bus","15","0.51","44","Dancing","560","752","974","745","837","1000",
"UK","North East","F","13","L","164","15","174","1","Car","5","0.39","44","Football/Soccer","500","500","500","500","500","500",
"UK","South East","M","14","B","128","33","90","1","Boat","40","0.76","55","None","391","346","403","394","1000","1000",
"UK","West Midlands","M","11","R","142","22","146","3","Bus","30","0","89","Gymnastics","500","500","500","500","500","500",
"UK","South","M","13","R","146","24","145","3","Bus","30","0.29","30","Swimming","0","0","149","500","1000","1000",
"UK","East Midlands","M","15","R","173","27","171","3","Walk","15","0","46","Football/Soccer","937","725","656","763","100","119",
"UK","East Midlands","M","13","R","168","26","168","1","Cycle","10","0.45","37","Cricket","893","823","436","640","973","1000",
"UK","Home Counties","M","12","R","155","23","154","1","Car","20","0.39","39","Cricket","750","803","751","847","108","239",
"UK","North West","M","13","R","154","15","90","1","Car","10","0.52","79","Hockey (Ice)","20","0","0","0","1000","1000",
"UK","East Midlands","M","13","R","179","27","179","2","Bus","17","0.28","43","Cricket","226","258","355","260","97","65",
"UK","North West","M","14","R","160","24","155","2","Bus","10","0.29","25","Dancing","1000","1000","1000","987","499","500",
"UK","Home Counties","M","13","R","159","23","152","2","Walk","5","0.42","59","Hockey (Field)","779","626","454","630","800","819",
"UK","North East","F","11","R","164","22","161","1","Walk","55","0.47","36","Dancing","559","660","490","500","655","668",
"UK","East Midlands","M","12","R","175","28","173","2","Bus","10","0.31","31","Rugby Union","1000","1000","1000","1000","1000","993",
"UK","South West","M","14","L","176","24","170","2","Walk","9","0.04","34","Football/Soccer","65","0","0","0","0","0",
"UK","North West","M","14","R","167","24","167","1","Bus","20","0.51","39","Walking/Hiking","746","831","680","711","144","170",
"UK","Home Counties","M","12","R","149","23","149","2","Walk","15","0.51","57","Table Tennis","575","262","612","635","1000","1000",
"UK","South East","M","15","R","177","26","167","1","Walk","15","0.25","26","Basketball","760","638","926","867","306","456",
"UK","Home Counties","M","14","R","165","30","165","4","Bus","15","0.29","33","Swimming","1000","1000","1000","1000","1000","1000",
"UK","West Midlands","M","14","R","176","30","176","4","Walk","55","0.41","70","Basketball","333","331","36","172","855","812",
"UK","South","M","13","R","171","26","176","2","Bus","90","0.31","30","Basketball","0","0","0","0","0","0",
"UK","South","F","12","R","155","24","147","1","Car","12","0.34","35","Other activities/sports","776","1000","546","489","472","984",
"UK","North West","M","12","R","143","23","145","1","Walk","10","1.09","42","Football/Soccer","846","776","651","725","105","128",
"UK","North East","F","13","R","164","25","163","2","Bus","30","0.65","46","Other activities/sports","237","629","613","671","973","971",
"UK","London","M","12","L","163","25","163","2","Car","30","0.31","36","Football/Soccer","906","577","906","861","262","598",
"UK","East","M","15","R","169","26","171","1","Walk","15","0.32","35","Rugby Union","738","664","588","581","1000","1000",
"UK","East Midlands","F","11","R","150","20","150","1","Bus","75","0.34","37","Swimming","1000","1000","1000","1000","1000","1000",
"UK","North West","M","14","R","168","24","146","1","Walk","6","0.51","42","Basketball","500","500","500","500","0","0",
"UK","Martinique","M","16","R","182","26","187","2","Car","5","1.67","73","Swimming","893","1000","1000","1000","1000","1000",
"UK","West Midlands","F","14","R","155","15","150","1","Walk","15","0.53","51","Netball","736","753","500","500","145","121",
"UK","South West","F","14","R","160","25","162","1","Bus","15","0.96","57","Basketball","779","796","792","805","425","412",
"UK","South","M","13","R","151","23","156","1","Cycle","5","0.31","61","Football/Soccer","500","767","779","734","168","430",
"UK","North West","F","11","R","149","23","149","1","Car","10","0.57","38","Dancing","680","638","351","500","248","272",
"UK","North West","F","13","R","145","21","143","3","Car","7","0.42","45","Dancing","678","595","500","546","924","978",
"UK","East","F","13","R","161","24","178","2","Walk","42","0.42","26","Other activities/sports","500","755","758","702","690","693",
"UK","East Midlands","M","15","L","174","27","173","2","Bus","40","0.32","37","Tennis","150","855","369","655","1000","1000",
