name,genre,year_of_release,publisher,sales,critic_score,user_score,developer,rating,platform
NCAA Football 2005,Sports,2004,Electronic Arts,1.62,88,8.8,EA,E,PS2
LEGO Marvel Super Heroes,Action,2013,Warner Bros. Interactive Entertainment,1.62,83,7.7,TT Games,E10+,PS4
NFL Street 2,Sports,2004,Electronic Arts,1.61,77,8.7,EA,E,PS2
ESPN NBA 2K5,Sports,2004,Other,1.59,83,7.5,Visual Concepts,E,PS2
Far Cry 2,Action,2008,Ubisoft,1.59,85,6.7,Ubisoft,M,X360
The Legend of Zelda: Twilight Princess,Action,2006,Nintendo,1.59,96,9.2,Nintendo,T,GC
Pro Evolution Soccer 2008,Sports,2007,Konami Digital Entertainment,1.59,74,6.1,Konami,E,PS3
Dance Dance Revolution: Hottest Party 2,Simulation,2008,Konami Digital Entertainment,1.58,69,6.8,Konami,E10+,Wii
SoulCalibur IV,Fighting,2008,Ubisoft,1.58,85,7.9,Namco,T,X360
Devil May Cry 4,Action,2008,Capcom,1.57,84,8.2,Capcom,M,PS3
NCAA Football 2002,Sports,2001,Electronic Arts,1.57,90,8.7,EA,E,PS2
Watch Dogs,Action,2014,Ubisoft,1.57,78,5.8,Ubisoft,M,XOne
Guitar Hero: On Tour Decades,Misc,2008,Activision,1.57,72,8,Vicarious Visions,E10+,DS
Madden NFL 15,Sports,2014,Electronic Arts,1.57,80,6.4,EA,E,XOne
Fight Night Round 3,Fighting,2006,Electronic Arts,1.56,84,8.1,EA,T,PS2
Need for Speed: Most Wanted,Racing,2012,Electronic Arts,1.56,83,8.5,EA,T,X360
LEGO Pirates of the Caribbean: The Video Game,Action,2011,Other,1.55,73,7,Traveller's Tales,E10+,Wii
Tom Clancy's Rainbow Six 3,Shooter,2003,Ubisoft,1.55,86,8.5,Ubisoft,M,XB
LEGO Harry Potter: Years 1-4,Action,2010,Warner Bros. Interactive Entertainment,1.55,79,8,Traveller's Tales,E10+,X360
Spider-Man 2: Enter: Electro,Action,2001,Activision,1.55,74,8.7,Vicarious Visions,E,PS
Guitar Hero 5,Misc,2009,Activision,1.55,89,6.9,Vicarious Visions,T,Wii
Tom Clancy's Ghost Recon Advanced Warfighter,Shooter,2006,Ubisoft,1.54,90,8,Ubisoft,T,X360
MVP Baseball 2005,Sports,2005,Electronic Arts,1.54,87,8.6,EA,E,PS2
Pro Evolution Soccer 2013,Sports,2012,Konami Digital Entertainment,1.53,82,6.7,Konami,E,PS3
Fight Night Round 4,Fighting,2009,Electronic Arts,1.52,88,7.6,EA,T,PS3
Pac-Man World 2,Action,2002,Other,1.51,73,7.8,Namco,E,PS2
MySims Kingdom,Simulation,2008,Electronic Arts,1.51,76,8.1,EA,E,Wii
The Simpsons Game,Action,2007,Electronic Arts,1.51,68,8.2,EA,T,PS2
SoulCalibur II,Fighting,2003,Other,1.5,93,9.1,Namco,T,GC
Madden NFL 2001,Sports,2000,Electronic Arts,1.5,91,7.7,EA,E,PS2
Medal of Honor: Frontline,Shooter,2002,Electronic Arts,1.49,81,6.9,EA,T,XB
Madden NFL 09,Sports,2008,Electronic Arts,1.49,67,7,EA,E,PS2
Fight Night 2004,Fighting,2004,Electronic Arts,1.48,85,9,EA,T,PS2
LEGO Star Wars III: The Clone Wars,Action,2011,Other,1.48,75,7.8,Traveller's Tales,E10+,X360
Tom Clancy's Splinter Cell: Pandora Tomorrow,Action,2004,Ubisoft,1.48,93,8.6,Ubisoft,T,XB
Tom Clancy's Ghost Recon: Future Soldier,Shooter,2012,Ubisoft,1.47,79,7.2,Ubisoft,M,X360
Fight Night Round 3,Fighting,2006,Electronic Arts,1.47,86,8.8,EA,T,X360
SoulCalibur IV,Fighting,2008,Ubisoft,1.46,85,7.9,Namco,T,PS3
Mario Superstar Baseball,Sports,2005,Nintendo,1.46,76,8.6,Namco,E,GC
Battlefield: Bad Company,Shooter,2008,Electronic Arts,1.46,83,7.7,EA,T,X360
Onimusha 3: Demon Siege,Action,2004,Capcom,1.45,85,8.6,Capcom,M,PS2
Resident Evil: Outbreak,Action,2003,Capcom,1.45,71,8.3,Capcom,M,PS2
NBA 2K14,Sports,2013,Take-Two Interactive,1.45,85,6.5,Visual Concepts,E,PS4
My Word Coach,Misc,2007,Ubisoft,1.44,71,6.8,Ubisoft,E,DS
Tiger Woods PGA Tour 2005,Sports,2004,Electronic Arts,1.44,88,8.2,EA,E,PS2
NCAA Football 2003,Sports,2002,Electronic Arts,1.44,91,8.6,EA,E,PS2
WWE SmackDown vs Raw 2008,Fighting,2007,Other,1.43,71,6.8,Yuke's,T,X360
Classic NES Series: Super Mario Bros.,Platform,2004,Nintendo,1.43,84,8.6,Nintendo,E,GBA
Hasbro Family Game Night,Puzzle,2008,Electronic Arts,1.43,63,7.5,EA,E,Wii
SimCity (2013),Simulation,2013,Electronic Arts,1.42,64,2.2,Maxis,E10+,PC
NFL Street,Sports,2004,Electronic Arts,1.42,80,8.9,EA,E,PS2
Tiger Woods PGA Tour 09 All-Play,Sports,2008,Electronic Arts,1.42,81,8.7,EA,E,Wii
Rayman Raving Rabbids,Misc,2006,Ubisoft,1.42,76,7.9,Ubisoft,E,Wii
UFC Undisputed 2010,Fighting,2010,Other,1.41,85,7.2,Yuke's,T,PS3
NASCAR 2005: Chase for the Cup,Racing,2004,Electronic Arts,1.41,87,8.4,EA,E,PS2
Fight Night Round 4,Fighting,2009,Electronic Arts,1.4,87,8.1,EA,T,X360
LEGO Star Wars II: The Original Trilogy,Action,2006,Other,1.4,83,8.6,Traveller's Tales,E10+,PSP
Dead Space,Action,2008,Electronic Arts,1.4,89,8.7,EA,M,X360
LEGO Indiana Jones 2: The Adventure Continues,Action,2009,Activision,1.4,72,6.1,Traveller's Tales,E10+,Wii
Ridge Racer,Racing,2004,Sony Computer Entertainment,1.4,88,8.2,Namco,E,PSP
Colin McRae Rally 3,Racing,2002,Codemasters,1.4,86,7.7,Codemasters,E,PS2
Madden NFL 2002,Sports,2001,Electronic Arts,1.39,88,8,EA,E,PS
Dynasty Warriors 5,Action,2005,Tecmo Koei,1.39,69,8.8,Omega Force,T,PS2
Far Cry 2,Action,2008,Ubisoft,1.38,85,6.4,Ubisoft,M,PS3
LEGO Indiana Jones: The Original Adventures,Action,2008,Other,1.37,77,8.4,Traveller's Tales,E10+,PS2
The Sims 2,Simulation,2005,Electronic Arts,1.37,65,6.9,Maxis,T,PSP
Crash Bandicoot 2: N-Tranced,Platform,2003,Other,1.36,75,7.8,Vicarious Visions,E,GBA
Dead to Rights,Shooter,2002,Electronic Arts,1.36,73,8.9,Namco,M,PS2
Hasbro Family Game Night 2,Misc,2009,Electronic Arts,1.35,63,6.3,EA,E,Wii
Samurai Warriors,Action,2004,Electronic Arts,1.35,73,8.7,Omega Force,T,PS2
Battlefield 4,Shooter,2013,Electronic Arts,1.35,81,6,EA,M,PC
FIFA Soccer 08,Sports,2007,Electronic Arts,1.35,79,7.4,EA,E,PSP
FIFA Soccer 09,Sports,2008,Electronic Arts,1.35,84,8.9,EA,E,PSP
FIFA Soccer 08,Sports,2007,Electronic Arts,1.35,82,7.9,EA,E,X360
Devil May Cry 4,Action,2008,Capcom,1.34,84,8,Capcom,M,X360
Tom Clancy's Rainbow Six: Vegas 2,Shooter,2008,Ubisoft,1.34,81,7.9,Ubisoft,M,PS3
Marvel vs. Capcom 3: Fate of Two Worlds,Fighting,2011,Capcom,1.34,84,7.3,Capcom,T,PS3
Doom 3,Shooter,2005,Activision,1.34,88,7.4,Vicarious Visions,M,XB
Tom Clancy's Rainbow Six: Siege,Shooter,2015,Ubisoft,1.34,74,6.9,Ubisoft,M,XOne
Monster Hunter Freedom,Role-Playing,2005,Capcom,1.34,71,8.6,Capcom,T,PSP
Donkey Kong Jungle Beat,Platform,2004,Nintendo,1.34,80,8.3,Nintendo,E10+,GC
Need for Speed Carbon,Racing,2006,Electronic Arts,1.34,74,8.4,EA,E10+,PS2
Lost Planet: Extreme Condition,Shooter,2006,Capcom,1.34,79,7.1,Capcom,T,X360
Battlefield: Bad Company,Shooter,2008,Electronic Arts,1.34,84,8.1,EA,T,PS3
MVP Baseball 2004,Sports,2004,Electronic Arts,1.34,90,8.6,EA,E,PS2
WWE SmackDown vs Raw 2008,Fighting,2007,Other,1.33,74,7.3,Yuke's,T,PS3
Skylanders SWAP Force,Platform,2013,Activision,1.32,83,5.7,Vicarious Visions,E10+,X360
UFC Undisputed 2010,Fighting,2010,Other,1.32,84,6.7,Yuke's,T,X360
NFL 2K3,Sports,2002,Other,1.32,93,7.4,Visual Concepts,E,PS2
Assassin's Creed III: Liberation,Action,2012,Ubisoft,1.32,70,7.2,Ubisoft,M,PSV
Your Shape: Fitness Evolved,Sports,2010,Ubisoft,1.32,73,7.5,Ubisoft,E,X360
LEGO Harry Potter: Years 1-4,Action,2010,Warner Bros. Interactive Entertainment,1.31,79,8,Traveller's Tales,E10+,PS3
NBA Live 07,Sports,2006,Electronic Arts,1.3,63,6,EA,E,PS2
SingStar '80s,Misc,2005,Sony Computer Entertainment,1.3,78,8.3,EA,T,PS2
Assassin's Creed Syndicate,Action,2015,Ubisoft,1.3,78,6.1,Ubisoft,M,XOne
LEGO Batman: The Videogame,Action,2008,Warner Bros. Interactive Entertainment,1.29,75,7.7,Traveller's Tales,E10+,PS3
Assassin's Creed: Rogue,Action,2014,Ubisoft,1.29,72,7.5,Ubisoft,M,PS3
EA Playground,Sports,2007,Electronic Arts,1.29,66,7.6,EA,E,Wii
Need for Speed Carbon,Racing,2006,Electronic Arts,1.28,67,7.3,EA,E10+,Wii
Castlevania: Symphony of the Night,Platform,1997,Konami Digital Entertainment,1.27,93,9.4,Konami,T,PS
Guitar Hero: Aerosmith,Misc,2008,Activision,1.27,73,7.2,Vicarious Visions,T,Wii
The LEGO Movie Videogame,Action,2014,Warner Bros. Interactive Entertainment,1.27,69,7.2,TT Games,E10+,X360
The Sims 2: Nightlife,Simulation,2005,Electronic Arts,1.27,76,6.6,Maxis,T,PC
LEGO Batman: The Videogame,Action,2008,Warner Bros. Interactive Entertainment,1.27,77,8.9,Traveller's Tales,E10+,PS2
NBA 2K9,Sports,2008,Take-Two Interactive,1.27,84,7.2,Visual Concepts,E,X360
Tony Hawk's Underground,Sports,2003,Activision,1.27,85,9.1,Neversoft Entertainment,T,XB
WWE '12,Fighting,2011,Other,1.27,71,6.3,Yuke's,T,X360
EA Sports Active 2,Sports,2010,Electronic Arts,1.26,79,8.1,EA,E,Wii
NBA Live 2001,Sports,2000,Electronic Arts,1.25,86,8,EA,E,PS
Need for Speed: Most Wanted,Racing,2005,Electronic Arts,1.25,83,8.5,EA,T,X360
Tom Clancy's Rainbow Six: Vegas,Shooter,2007,Ubisoft,1.25,86,7.6,Ubisoft,M,PS3
Tom Clancy's Splinter Cell: Pandora Tomorrow,Action,2004,Ubisoft,1.25,87,8.6,Ubisoft,T,PS2
Ridge Racer V,Action,2000,Other,1.24,78,7.7,Namco,E,PS2
WWE SmackDown vs. Raw 2009,Fighting,2008,Other,1.24,78,6.9,Yuke's,T,PS2
FIFA Street,Sports,2012,Electronic Arts,1.23,76,6.4,EA,E,PS3
Frogger: The Great Quest,Platform,2001,Konami Digital Entertainment,1.23,32,4.6,Konami,E,PS2
Madden NFL 17,Sports,2016,Electronic Arts,1.23,83,5.9,EA,E,XOne
Crash Bandicoot: The Wrath of Cortex,Platform,2002,Other,1.23,70,8.1,Traveller's Tales,E,XB
LEGO The Lord of the Rings,Action,2012,Warner Bros. Interactive Entertainment,1.23,80,8.5,TT Games,E10+,X360
Hyrule Warriors,Action,2014,Nintendo,1.23,76,8.3,Omega Force,T,WiiU
Guitar Hero: Aerosmith,Misc,2008,Activision,1.23,70,6.7,Neversoft Entertainment,T,X360
Need for Speed Carbon,Racing,2006,Electronic Arts,1.23,75,7.3,EA,E10+,PS3
2010 FIFA World Cup South Africa,Sports,2010,Electronic Arts,1.23,82,7.8,EA,E,PS3
NBA 2K2,Sports,2002,Other,1.22,89,7.8,Visual Concepts,E,PS2
Super Street Fighter IV: 3D Edition,Fighting,2011,Capcom,1.21,85,8.1,Capcom,T,3DS
WWE 2K16,Sports,2015,Take-Two Interactive,1.21,73,7.4,Yuke's,T,PS4
Dino Crisis 2,Action,2000,Other,1.21,86,9,Capcom,M,PS
Need for Speed Underground,Racing,2003,Electronic Arts,1.21,83,9,EA,E,GC
Medal of Honor: Airborne,Shooter,2007,Electronic Arts,1.21,75,7.6,EA,T,PS3
Boom Blox,Puzzle,2008,Electronic Arts,1.21,85,8.6,EA,E,Wii
The Sims 2: Castaway,Simulation,2007,Electronic Arts,1.2,73,8.2,Maxis,T,Wii
F1 2011,Racing,2011,Codemasters,1.2,82,7.1,Codemasters,E,PS3
Pikmin 2,Strategy,2004,Nintendo,1.2,90,9.1,Nintendo,E,GC
NHL 2002,Sports,2001,Electronic Arts,1.2,92,8.5,EA,E,PS2
FIFA Soccer 11,Sports,2010,Electronic Arts,1.2,68,5.4,EA,E,PSP
LEGO Batman 2: DC Super Heroes,Action,2012,Warner Bros. Interactive Entertainment,1.19,81,7.5,Traveller's Tales,E10+,PS3
Captain Toad: Treasure Tracker,Puzzle,2014,Nintendo,1.19,81,8.6,EA,E,WiiU
SpongeBob SquarePants: Revenge of the Flying Dutchman,Platform,2002,Other,1.19,71,7.7,Vicarious Visions,E,GBA
Pro Evolution Soccer 2008,Sports,2008,Konami Digital Entertainment,1.19,83,8.4,Konami,E,Wii
WWE SmackDown vs Raw 2008,Fighting,2007,Other,1.19,68,7.8,Yuke's,T,PSP
Just Dance 4,Misc,2012,Ubisoft,1.18,77,7.7,Ubisoft,E10+,X360
Tony Hawk's Pro Skater 2,Sports,2001,Activision,1.18,95,7.5,Vicarious Visions,E,GBA
Gun,Shooter,2005,Activision,1.17,77,8.7,Neversoft Entertainment,M,PS2
LEGO Indiana Jones: The Original Adventures,Action,2008,Other,1.17,76,7.6,Traveller's Tales,E10+,PSP
WWE '12,Fighting,2011,Other,1.17,72,6.9,Yuke's,T,PS3
WWE SmackDown vs. Raw 2010,Fighting,2009,Other,1.17,81,8.1,Yuke's,T,PS3
Medal of Honor: Rising Sun,Shooter,2003,Electronic Arts,1.17,65,5.8,EA,T,XB
Army of Two,Shooter,2008,Electronic Arts,1.17,74,7.3,EA,M,PS3
Spore,Strategy,2008,Electronic Arts,1.17,84,5.3,Maxis,E10+,PC
Mario vs. Donkey Kong,Puzzle,2004,Nintendo,1.17,81,8,Nintendo,E,GBA
LEGO Star Wars III: The Clone Wars,Action,2011,Other,1.16,76,7.3,Traveller's Tales,E10+,PS3
Mirror's Edge,Platform,2008,Electronic Arts,1.16,79,7.6,EA,T,X360
NASCAR Thunder 2002,Racing,2001,Electronic Arts,1.16,85,8.5,EA,E,PS2
Your Shape: Fitness Evolved 2012,Sports,2011,Ubisoft,1.16,77,7.6,Ubisoft,E,X360
FIFA 14,Sports,2013,Electronic Arts,1.16,88,5.8,EA,E,XOne
Gauntlet: Dark Legacy,Action,2001,Midway Games,1.15,73,8.3,Midway,T,PS2
Medal of Honor Heroes 2,Shooter,2007,Electronic Arts,1.15,69,7.3,EA,T,PSP
FIFA Soccer 10,Sports,2009,Electronic Arts,1.15,83,7.9,EA,E,PSP
Donkey Konga,Misc,2003,Nintendo,1.15,76,8.3,Namco,E,GC
WWE 2K15,Sports,2014,Take-Two Interactive,1.15,62,5.1,Yuke's,T,PS4
WWE 2K14,Sports,2013,Take-Two Interactive,1.14,74,7.5,Yuke's,T,PS3
The Lord of the Rings: The Return of the King,Action,2003,Electronic Arts,1.14,84,9.1,EA,T,XB
Mobile Suit Gundam: Federation vs. Zeon,Simulation,2001,Other,1.14,73,8.8,Capcom,T,PS2
Watch Dogs 2,Action,2016,Ubisoft,1.13,83,7.8,Ubisoft,M,PS4
LEGO Star Wars III: The Clone Wars,Action,2011,Other,1.13,67,6.1,Traveller's Tales,E10+,3DS
Tom Clancy's Rainbow Six 3: Black Arrow,Shooter,2004,Ubisoft,1.13,84,8.6,Ubisoft,M,XB
Mirror's Edge,Platform,2008,Electronic Arts,1.13,79,7.8,EA,T,PS3
Guitar Hero 5,Misc,2009,Activision,1.13,85,6.8,Neversoft Entertainment,T,X360
The Legend of Zelda: Tri Force Heroes,Action,2015,Nintendo,1.12,73,7.6,Nintendo,E,3DS
Rabbids Go Home,Platform,2009,Ubisoft,1.12,78,8.3,Ubisoft,E10+,Wii
Rocksmith,Misc,2011,Ubisoft,1.12,80,8.3,Ubisoft,T,PS3
Rocksmith,Misc,2011,Ubisoft,1.12,77,8.2,Ubisoft,T,X360
Fight Night Champion,Fighting,2011,Electronic Arts,1.11,84,7.3,EA,M,PS3
Tom Clancy's Splinter Cell: Chaos Theory,Action,2005,Ubisoft,1.11,94,9,Ubisoft,M,XB
Pikmin 3,Strategy,2013,Nintendo,1.11,87,8.7,Nintendo,E10+,WiiU
WWE 2K14,Sports,2013,Take-Two Interactive,1.11,75,7.7,Yuke's,T,X360
Tales of Symphonia,Role-Playing,2003,Nintendo,1.1,86,8.5,Namco,T,GC
LEGO City Undercover,Platform,2013,Nintendo,1.1,80,8.2,TT Games,E10+,WiiU
Need for Speed: ProStreet,Racing,2007,Electronic Arts,1.1,61,6.9,EA,E10+,Wii
GRID,Racing,2008,Codemasters,1.1,87,8.1,Codemasters,E,PS3
Medal of Honor: Airborne,Shooter,2007,Electronic Arts,1.1,73,6.7,EA,T,X360
NCAA Football 14,Sports,2013,Electronic Arts,1.09,77,5.8,EA,E,X360
Guitar Hero 5,Misc,2009,Activision,1.09,86,5.7,Neversoft Entertainment,T,PS3
NERF N-Strike,Shooter,2008,Electronic Arts,1.09,66,4.4,EA,E10+,Wii
Madden NFL 2004,Sports,2003,Electronic Arts,1.09,92,8.3,EA,E,XB
The Godfather,Action,2006,Electronic Arts,1.09,75,8.3,EA,M,PS2
WWE SmackDown vs. Raw 2011,Fighting,2010,Other,1.09,74,6.9,Yuke's,T,PS3
NCAA Football 13,Action,2012,Electronic Arts,1.09,76,5.5,EA,E,X360
Skate 2,Sports,2009,Electronic Arts,1.09,84,8,EA,T,X360
NASCAR Thunder 2004,Racing,2003,Electronic Arts,1.08,88,8.9,EA,E,PS2
Tom Clancy's Ghost Recon 2,Shooter,2004,Ubisoft,1.08,58,6,Ubisoft,T,PS2
Star Fox: Assault,Shooter,2005,Nintendo,1.08,67,8.1,Namco,T,GC
FIFA Soccer 11,Sports,2010,Electronic Arts,1.07,73,7.3,EA,E,Wii
Prince of Persia,Action,2008,Ubisoft,1.07,85,7.3,Ubisoft,T,PS3
Pro Evolution Soccer 2008,Sports,2007,Konami Digital Entertainment,1.07,76,7.8,Konami,E,X360
SoulCalibur III,Fighting,2005,Other,1.07,86,8.4,Namco,T,PS2
Tiger Woods PGA Tour 10,Sports,2009,Electronic Arts,1.07,88,8.8,EA,E,Wii
Mortal Kombat: Armageddon,Fighting,2006,Midway Games,1.06,75,8.5,Midway,M,PS2
The Orange Box,Shooter,2007,Electronic Arts,1.06,89,8.4,EA,M,PS3
NBA Street V3,Sports,2005,Electronic Arts,1.06,89,8.7,EA,E,PS2
DiRT 3,Racing,2011,Codemasters,1.06,87,7.1,Codemasters,T,PS3
DiRT,Racing,2007,Codemasters,1.05,83,8,Codemasters,E,PS3
NBA 2K3,Sports,2002,Other,1.05,89,8,Visual Concepts,E,PS2
LEGO The Lord of the Rings,Action,2012,Warner Bros. Interactive Entertainment,1.05,82,8.3,TT Games,E10+,PS3
EA Sports UFC,Sports,2014,Electronic Arts,1.05,70,6.1,EA,T,PS4
MVP Baseball 2003,Sports,2003,Electronic Arts,1.04,81,8.9,EA,E,PS2
WWE SmackDown vs. Raw 2010,Fighting,2009,Other,1.04,80,8.4,Yuke's,T,X360
Dance Dance Revolution SuperNOVA,Simulation,2006,Konami Digital Entertainment,1.04,73,8.7,Konami,E10+,PS2
Need for Speed: Most Wanted,Racing,2005,Electronic Arts,1.04,83,8.8,EA,T,XB
The Simpsons Game,Action,2007,Electronic Arts,1.03,71,7.7,EA,T,X360
F1 2012,Racing,2012,Codemasters,1.03,81,7.5,Codemasters,E,PS3
UFC Undisputed 3,Action,2012,Other,1.03,86,7.4,Yuke's,T,PS3
LEGO Pirates of the Caribbean: The Video Game,Action,2011,Other,1.03,73,7,Traveller's Tales,E10+,X360
Tom Clancy's Ghost Recon Advanced Warfighter 2,Shooter,2007,Ubisoft,1.03,84,8.1,Ubisoft,T,PS3
LEGO Indiana Jones: The Original Adventures,Action,2008,Activision,1.03,77,7.7,Traveller's Tales,E10+,PS3
Street Fighter Alpha 3,Fighting,1998,Other,1.03,93,8.5,Capcom,T,PS
MySims Agents,Adventure,2009,Electronic Arts,1.03,78,8.6,EA,E,Wii
FIFA Soccer 08,Sports,2007,Electronic Arts,1.02,65,6.1,EA,E,Wii
Tiger Woods PGA Tour 08,Sports,2007,Electronic Arts,1.02,72,7,EA,E,Wii
NBA 2K17,Sports,2016,Take-Two Interactive,1.02,90,6.2,Visual Concepts,E,XOne
Tom Clancy's Ghost Recon Advanced Warfighter 2,Shooter,2007,Ubisoft,1.02,86,8.1,Ubisoft,T,X360
LEGO Indiana Jones 2: The Adventure Continues,Action,2009,Activision,1.02,71,7.4,Traveller's Tales,E10+,X360
Skylanders SWAP Force,Platform,2013,Activision,1.02,83,5.3,Vicarious Visions,E10+,PS3
Madden NFL 07,Sports,2006,Electronic Arts,1.02,83,8.7,EA,E,XB
Harry Potter and the Prisoner of Azkaban,Action,2004,Electronic Arts,1.02,70,8.7,EA,E,PS2
Assassin's Creed: Rogue,Action,2014,Ubisoft,1.01,72,7.3,Ubisoft,M,X360
Rayman Legends,Platform,2014,Ubisoft,1.01,90,8.5,Ubisoft,E10+,PS4
Prince of Persia,Action,2008,Ubisoft,1.01,81,7,Ubisoft,T,X360
ZombiU,Action,2012,Ubisoft,1.01,77,7.7,Ubisoft,M,WiiU
NERF N-Strike Elite,Shooter,2009,Electronic Arts,1,67,4.5,EA,E10+,Wii
SoulCalibur II,Fighting,2003,Other,1,92,8.9,Namco,T,XB
Dynasty Warriors 3: Xtreme Legends,Action,2002,Tecmo Koei,1,72,9.3,Omega Force,T,PS2
Just Dance 2014,Misc,2013,Ubisoft,0.99,79,7.8,Ubisoft,E10+,X360
NCAA Football 12,Sports,2011,Electronic Arts,0.99,82,6.6,EA,E,X360
UFC Undisputed 3,Action,2012,Other,0.99,85,7.6,Yuke's,T,X360
DiRT 2,Racing,2009,Codemasters,0.99,87,8.2,Codemasters,T,PS3
Guitar Hero: Aerosmith,Misc,2008,Activision,0.99,70,5,Neversoft Entertainment,T,PS3
Apollo Justice: Ace Attorney,Adventure,2007,Capcom,0.99,78,8.1,Capcom,T,DS
Pro Evolution Soccer 2008,Sports,2008,Konami Digital Entertainment,0.98,80,6.8,Konami,E,PSP
FIFA Soccer 10,Sports,2009,Electronic Arts,0.98,75,6.2,EA,E,Wii
WWE SmackDown vs Raw 2008,Fighting,2007,Other,0.98,59,5.9,Yuke's,T,Wii
Tom Clancy's Splinter Cell: Blacklist,Action,2013,Ubisoft,0.98,82,7.5,Ubisoft,M,X360
NBA 2K10,Sports,2009,Take-Two Interactive,0.97,82,7.6,Visual Concepts,E,X360
NCAA Football 06,Sports,2005,Electronic Arts,0.97,87,8.3,EA,E,XB
Madden NFL 08,Sports,2007,Electronic Arts,0.97,81,5.3,EA,E,PS3
NHL 2004,Sports,2003,Electronic Arts,0.97,85,7.6,EA,E,PS2
FIFA Soccer 2005,Sports,2004,Electronic Arts,0.97,81,8.7,EA,E,XB
Band Hero,Misc,2009,Activision,0.97,79,6.6,Vicarious Visions,E10+,Wii
LEGO Star Wars II: The Original Trilogy,Action,2006,Other,0.97,84,9.1,Traveller's Tales,E10+,GC
Far Cry 3,Shooter,2012,Ubisoft,0.96,88,8.2,Ubisoft,M,PC
NHL 2001,Sports,2000,Electronic Arts,0.96,85,8.1,EA,E,PS2
Mortal Kombat: Deadly Alliance,Fighting,2002,Midway Games,0.96,81,8.4,Midway,M,XB
ESPN NBA 2K5,Sports,2004,Other,0.95,85,8.7,Visual Concepts,E,XB
My Weight Loss Coach,Sports,2008,Ubisoft,0.95,63,7.6,Ubisoft,E,DS
Tom Clancy's Splinter Cell: Chaos Theory,Action,2005,Ubisoft,0.95,87,8.6,Ubisoft,M,PS2
Pro Evolution Soccer 2014,Action,2013,Konami Digital Entertainment,0.95,78,4.1,Konami,E,PS3
Tom Clancy's Ghost Recon: Future Soldier,Shooter,2012,Ubisoft,0.95,79,6.9,Ubisoft,M,PS3
Driver: San Francisco,Racing,2011,Ubisoft,0.95,79,7.7,Ubisoft,T,PS3
Army of Two: The 40th Day,Shooter,2010,Electronic Arts,0.95,73,7.3,EA,M,X360
Lost Planet 2,Shooter,2010,Capcom,0.95,68,6.9,Capcom,T,PS3
LEGO Pirates of the Caribbean: The Video Game,Action,2011,Other,0.95,73,7.1,Traveller's Tales,E10+,PS3
Star Fox 64 3D,Shooter,2011,Nintendo,0.94,81,8.2,Nintendo,E10+,3DS
Tom Clancy's Splinter Cell: Blacklist,Action,2013,Ubisoft,0.94,84,7.7,Ubisoft,M,PS3
WWE SmackDown vs. Raw 2009,Fighting,2008,Other,0.94,78,7,Yuke's,T,PS3
NCAA Football 10,Sports,2009,Electronic Arts,0.94,83,6.7,EA,E,X360
Prince of Persia: The Sands of Time,Action,2003,Ubisoft,0.94,92,7.8,Ubisoft,T,XB
MLB 06: The Show,Sports,2006,Sony Computer Entertainment,0.94,83,8.9,EA,E,PS2
NHL 2003,Sports,2002,Electronic Arts,0.93,79,6.8,EA,E,PS2
EA Sports UFC 2,Sports,2016,Electronic Arts,0.93,79,6.2,EA,T,PS4
Tony Hawk's Pro Skater 4,Sports,2002,Activision,0.93,90,8.5,Neversoft Entertainment,T,XB
Guitar Hero: Metallica,Misc,2009,Activision,0.93,85,8.6,Neversoft Entertainment,T,Wii
Teenage Mutant Ninja Turtles,Action,2003,Other,0.93,71,8.8,Konami,E,GBA
MLB 07: The Show,Sports,2007,Sony Computer Entertainment,0.93,83,8.6,EA,E,PS2
Operation Flashpoint: Dragon Rising,Shooter,2009,Codemasters,0.93,77,7.8,Codemasters,M,X360
Lego Batman 3: Beyond Gotham,Action,2014,Warner Bros. Interactive Entertainment,0.93,73,7.1,TT Games,E10+,PS4
The LEGO Movie Videogame,Action,2014,Warner Bros. Interactive Entertainment,0.93,80,6.8,TT Games,E10+,PS3
Assassin's Creed III,Action,2012,Ubisoft,0.93,80,6.2,Ubisoft,M,PC
NCAA Football 11,Sports,2010,Electronic Arts,0.92,86,7.1,EA,E,X360
Phoenix Wright: Ace Attorney,Adventure,2005,Capcom,0.92,81,9.2,Capcom,T,DS
MLB 15: The Show,Sports,2015,Sony Computer Entertainment,0.92,80,7.8,EA,E,PS4
MLB 12: The Show,Sports,2012,Sony Computer Entertainment,0.92,87,7.5,EA,E,PS3
Wii Play: Motion,Misc,2011,Nintendo,0.92,60,6.1,Nintendo,E10+,Wii
WWE SmackDown vs. Raw 2009,Fighting,2008,Other,0.92,79,7.1,Yuke's,T,X360
EA Sports Active 2,Sports,2010,Electronic Arts,0.91,78,5.4,EA,E,PS3
Knockout Kings 2002,Sports,2002,Electronic Arts,0.91,76,8.1,EA,T,PS2
Tom Clancy's EndWar,Strategy,2008,Ubisoft,0.91,77,7.2,Ubisoft,T,X360
Colin McRae Rally 2.0,Racing,2000,Codemasters,0.91,90,8.7,Codemasters,E,PS
Dynasty Warriors 7,Action,2011,Tecmo Koei,0.91,57,7.4,Omega Force,T,PS3
NBA 2K14,Sports,2013,Take-Two Interactive,0.91,86,5.7,Visual Concepts,E,XOne
SSX,Sports,2012,Electronic Arts,0.91,81,6.8,EA,E,PS3
