name,genre,year_of_release,publisher,sales,critic_score,user_score,developer,rating,platform
Winning Eleven: Pro Evolution Soccer 2007,Sports,2006,Konami Digital Entertainment,4.39,86,8.9,Konami,E,PS2
Need for Speed: Most Wanted,Racing,2005,Electronic Arts,4.37,82,9.1,EA,T,PS2
Michael Jackson: The Experience,Misc,2010,Ubisoft,4.36,56,8.3,Ubisoft,E10+,Wii
Super Mario 3D World,Platform,2013,Nintendo,4.32,93,9,Nintendo,E,WiiU
Assassin's Creed: Revelations,Action,2011,Ubisoft,4.22,80,7.5,Ubisoft,M,PS3
FIFA 14,Sports,2013,Electronic Arts,4.22,84,4.2,EA,E,X360
FIFA Soccer 06,Sports,2005,Electronic Arts,4.21,80,7.8,EA,E,PS2
Assassin's Creed: Revelations,Action,2011,Ubisoft,4.19,80,7.2,Ubisoft,M,X360
Street Fighter IV,Fighting,2009,Capcom,4.16,94,7.3,Capcom,T,PS3
Madden NFL 2003,Sports,2002,Electronic Arts,4.14,95,7.7,EA,E,PS2
Battlefield 1,Shooter,2016,Electronic Arts,4.08,88,8.4,EA,M,PS4
Watch Dogs,Action,2014,Ubisoft,4.05,80,6.3,Ubisoft,M,PS4
Tekken Tag Tournament,Fighting,2000,Other,4.05,85,8.5,Namco,T,PS2
Far Cry 4,Shooter,2014,Ubisoft,4.04,85,7.7,Ubisoft,M,PS4
Assassin's Creed: Unity,Action,2014,Ubisoft,3.96,70,4.9,Ubisoft,M,PS4
The Legend of Zelda: Skyward Sword,Action,2011,Nintendo,3.95,93,8,Nintendo,E10+,Wii
EA Sports Active,Sports,2009,Electronic Arts,3.9,81,8.7,EA,E,Wii
Tony Hawk's Underground,Sports,2003,Activision,3.9,90,8.7,Neversoft Entertainment,T,PS2
Monster Hunter 4 Ultimate,Role-Playing,2014,Nintendo,3.89,86,8.7,Capcom,T,3DS
NBA 2K16,Sports,2015,Take-Two Interactive,3.88,87,6.7,Visual Concepts,E10+,PS4
Tekken 5,Fighting,2005,Other,3.87,88,8.6,Namco,T,PS2
Sports Champions,Sports,2010,Sony Computer Entertainment,3.84,76,7.9,EA,E10+,PS3
Big Brain Academy: Wii Degree,Misc,2007,Nintendo,3.79,68,6.9,Nintendo,E,Wii
LEGO Indiana Jones: The Original Adventures,Action,2008,Activision,3.76,77,7.5,Traveller's Tales,E10+,X360
The Sims: Unleashed,Simulation,2002,Electronic Arts,3.76,79,8,Maxis,T,PC
Assassin's Creed IV: Black Flag,Action,2013,Ubisoft,3.71,88,8.1,Ubisoft,M,PS3
FIFA Soccer 2005,Sports,2004,Electronic Arts,3.7,81,7.6,EA,E,PS2
Tony Hawk's Pro Skater 4,Sports,2002,Activision,3.67,94,8.5,Neversoft Entertainment,T,PS2
Pro Evolution Soccer 2008,Sports,2007,Konami Digital Entertainment,3.63,82,7.9,Konami,E,PS2
Resident Evil 4,Action,2005,Capcom,3.62,96,8.9,Capcom,M,PS2
Guitar Hero: World Tour,Misc,2008,Activision,3.62,86,7.6,Vicarious Visions,T,Wii
FIFA Soccer 10,Sports,2009,Electronic Arts,3.62,91,7.6,EA,E,PS3
Luigi's Mansion,Action,2001,Nintendo,3.6,78,8.5,Nintendo,E,GC
Battlefield 4,Shooter,2013,Electronic Arts,3.59,85,6.9,EA,M,PS4
James Bond 007: Agent Under Fire,Shooter,2001,Electronic Arts,3.53,72,7.9,EA,T,PS2
FIFA Soccer 11,Sports,2010,Electronic Arts,3.52,88,7.5,EA,E,X360
Assassin's Creed: Unity,Action,2014,Ubisoft,3.5,72,4.1,Ubisoft,M,XOne
Resident Evil 5,Action,2009,Capcom,3.5,83,7.5,Capcom,M,X360
Assassin's Creed: Brotherhood,Action,2010,Ubisoft,3.49,89,8.3,Ubisoft,M,X360
Battlefield 4,Shooter,2013,Electronic Arts,3.49,80,5.8,EA,M,PS3
Battlefield 4,Shooter,2013,Electronic Arts,3.48,79,5.6,EA,M,X360
Battlefield: Bad Company 2,Shooter,2010,Electronic Arts,3.47,88,8.6,EA,M,X360
Guitar Hero: On Tour,Misc,2008,Activision,3.46,71,8.8,Vicarious Visions,E10+,DS
Tekken 4,Fighting,2002,Other,3.44,79,8.3,Namco,T,PS2
FIFA Soccer 2003,Sports,2002,Electronic Arts,3.4,88,6.7,EA,E,PS2
Assassin's Creed Syndicate,Action,2015,Ubisoft,3.39,76,6.8,Ubisoft,M,PS4
LEGO Batman: The Videogame,Action,2008,Warner Bros. Interactive Entertainment,3.38,76,7.9,Traveller's Tales,E10+,X360
Far Cry 3,Shooter,2012,Ubisoft,3.35,90,8.5,Ubisoft,M,PS3
The Legend of Zelda: Spirit Tracks,Action,2009,Nintendo,3.31,87,7.8,Nintendo,E10+,DS
